Order Date,Sales,Quantity,Discount
2014-03-31,6959.066,141,7.3500000000000005
2014-06-30,11111.0636,197,9.32
2014-09-30,15604.944,273,12.9
2014-12-31,25659.837199999998,448,25.57
2015-03-31,5274.0506000000005,114,6.22
2015-06-30,10293.6485,228,10.85
2015-09-30,17841.229,304,13.95
2015-12-31,24245.9174,455,19.490000000000002
2016-03-31,12294.507,232,8.42
2016-06-30,14241.498,318,16.3
2016-09-30,23665.3743,386,19.02
2016-12-31,24879.392,501,22.3
2017-03-31,13180.6942,206,10.290000000000001
2017-06-30,19516.534499999998,363,19.89
2017-09-30,19446.137,403,17.75
2017-12-31,34688.0618,629,33.910000000000004
