Order Date,Sales,Quantity,Discount
2014-01-12,138.608,6,0.6
2014-01-19,523.063,13,0.8500000000000001
2014-01-26,588.018,23,0.2
2014-02-02,623.6659999999999,5,0.35
2014-02-09,14.56,2,0.0
2014-02-16,523.398,6,0.2
2014-02-23,45.480000000000004,9,0.6
2014-03-02,1259.879,17,1.4
2014-03-09,1593.336,12,0.8
2014-03-16,54.016,8,0.4
2014-03-23,854.808,22,1.4000000000000001
2014-03-30,740.234,18,0.55
2014-04-06,462.98400000000004,15,0.4
2014-04-13,417.05100000000004,6,0.35
2014-04-20,640.8779999999999,14,0.3
2014-04-27,1118.6100000000001,16,1.0
2014-05-04,670.6439999999999,15,0.2
2014-05-11,578.903,6,0.8
2014-05-18,1007.238,23,0.8
2014-05-25,287.28400000000005,14,1.5
2014-06-01,897.934,12,0.65
2014-06-08,1315.256,25,1.2
2014-06-15,1197.062,18,0.6
2014-06-22,1979.1276,25,1.12
2014-06-29,538.092,8,0.4
2014-07-06,711.216,7,0.6000000000000001
2014-07-13,2234.081,28,1.65
2014-07-20,421.44,15,1.3
2014-07-27,2285.504,34,1.4
2014-08-03,174.01600000000002,10,0.4
2014-08-10,1160.086,23,0.9
2014-08-17,292.926,8,0.2
2014-08-24,728.116,14,0.5
2014-08-31,46.08,9,0.0
2014-09-07,607.387,17,0.7
2014-09-14,2160.812,48,1.9
2014-09-21,2058.453,24,1.8
2014-09-28,2314.291,24,1.1500000000000001
2014-10-05,1555.7849999999999,27,1.8
2014-10-12,741.632,21,0.8
2014-10-19,995.928,13,1.1
2014-10-26,287.728,12,0.2
2014-11-02,1371.19,29,0.8500000000000001
2014-11-09,2561.14,38,1.15
2014-11-16,2787.3737,38,3.17
2014-11-23,2774.862,35,2.4
2014-11-30,3142.172,54,2.45
2014-12-07,2139.398,46,3.1999999999999997
2014-12-14,1886.8785,34,1.9500000000000002
2014-12-21,3014.49,43,2.8
2014-12-28,2263.464,46,2.9
2015-01-04,548.332,24,1.2
2015-01-11,61.584,1,0.2
2015-01-18,77.6,4,0.0
2015-01-25,301.742,5,0.6
2015-02-01,462.68600000000004,12,0.3
2015-02-08,540.1220000000001,11,0.1
2015-02-15,244.70399999999998,7,0.8
2015-02-22,35.544,1,0.2
2015-03-01,1229.9360000000001,20,0.9
2015-03-08,894.3389999999999,19,1.2
2015-03-15,179.248,9,0.4
2015-03-22,690.5156000000001,9,0.32
2015-03-29,533.65,13,0.6
2015-04-05,685.4999999999999,10,1.0
2015-04-12,491.79999999999995,8,0.6000000000000001
2015-04-19,771.22,12,0.9
2015-04-26,1099.296,15,1.0
2015-05-03,1185.963,25,0.8
2015-05-10,632.61,25,1.2
2015-05-17,1666.7235,24,1.3499999999999999
2015-05-24,238.466,13,0.2
2015-05-31,369.194,24,1.4
2015-06-07,35.28,3,0.0
2015-06-14,345.408,20,0.8
2015-06-21,1394.228,26,1.1
2015-06-28,1262.354,24,0.8
2015-07-05,1078.596,20,1.4
2015-07-12,1730.3990000000001,39,1.8
2015-07-19,1727.8180000000002,14,0.75
2015-07-26,2954.5899999999997,23,0.7
2015-08-02,272.14,10,0.0
2015-08-09,1123.104,22,0.8
2015-08-16,436.294,16,0.4
2015-08-23,1754.848,13,0.8500000000000001
2015-08-30,498.985,16,1.8499999999999999
2015-09-06,1642.883,24,0.6
2015-09-13,2390.678,57,1.7
2015-09-20,781.3000000000001,23,1.7000000000000002
2015-09-27,1587.58,29,1.7
2015-10-04,625.072,10,1.05
2015-10-11,1261.9540000000002,18,1.0
2015-10-18,1151.212,12,0.6000000000000001
2015-10-25,3204.633,50,1.5
2015-11-01,1656.355,29,0.75
2015-11-08,1429.3049999999998,28,0.8500000000000001
2015-11-15,2302.9452,43,1.67
2015-11-22,2849.746,52,2.4
2015-11-29,1493.7,37,1.3
2015-12-06,2778.407,65,2.65
2015-12-13,1178.564,29,0.6000000000000001
2015-12-20,1320.722,34,1.4
2015-12-27,2978.5422,43,3.12
2016-01-03,188.7,8,0.6
2016-01-10,143.014,14,0.8
2016-01-17,820.163,12,0.5
2016-01-24,1802.354,33,0.8
2016-01-31,529.7280000000001,6,0.2
2016-02-07,981.8299999999999,22,0.6000000000000001
2016-02-14,802.491,13,0.6
2016-02-21,1184.854,26,0.4
2016-02-28,16.192,2,0.6
2016-03-06,598.7099999999999,8,0.3
2016-03-13,2614.783,36,1.7
2016-03-20,598.486,26,0.72
2016-03-27,855.8499999999999,19,0.8
2016-04-03,1250.272,20,0.4
2016-04-10,1308.6129999999998,26,0.65
2016-04-17,1925.563,37,1.1500000000000001
2016-04-24,474.796,17,1.2
2016-05-01,641.054,17,1.7
2016-05-08,1452.884,48,1.3
2016-05-15,119.596,7,0.4
2016-05-22,728.654,25,0.8999999999999999
2016-05-29,596.112,29,1.6
2016-06-05,1524.675,34,2.6999999999999997
2016-06-12,1640.5919999999999,23,2.0
2016-06-19,1916.459,22,0.8
2016-06-26,1172.722,20,1.6
2016-07-03,1385.232,11,0.8
2016-07-10,2104.244,38,1.4
2016-07-17,938.688,23,1.0
2016-07-24,2381.502,25,0.9
2016-07-31,1822.596,35,1.0
2016-08-07,265.576,13,0.4
2016-08-14,1109.896,8,0.7000000000000001
2016-08-21,1286.676,21,1.7
2016-08-28,1241.1678,18,1.6199999999999999
2016-09-04,2089.3979999999997,44,1.1
2016-09-11,2502.161,48,3.9
2016-09-18,2413.218,37,1.85
2016-09-25,3837.76,60,2.6
2016-10-02,1185.5755,19,0.55
2016-10-09,843.132,24,2.1
2016-10-16,486.778,13,1.6
2016-10-23,1551.568,44,1.85
2016-10-30,1509.548,26,0.6000000000000001
2016-11-06,3696.654,60,2.6
2016-11-13,2853.034,54,2.5
2016-11-20,1831.522,32,2.8
2016-11-27,1296.938,39,1.7000000000000002
2016-12-04,2786.7670000000003,61,1.55
2016-12-11,1877.202,31,1.0
2016-12-18,1129.914,39,0.4
2016-12-25,1676.349,40,2.4
2017-01-01,3462.928,37,1.5
2017-01-08,892.98,2,0.0
2017-01-15,269.58,7,0.0
2017-01-22,1942.327,23,0.8
2017-01-29,326.34999999999997,12,0.0
2017-02-05,962.9150000000001,18,1.5
2017-02-12,977.409,14,1.15
2017-02-19,1779.0903999999998,16,1.72
2017-02-26,611.598,12,0.6000000000000001
2017-03-05,751.004,11,0.4
2017-03-12,304.02200000000005,10,0.8
2017-03-19,951.646,16,1.3
2017-03-26,1494.868,26,0.4
